scenario,method,pairs,target_calls,histories,mass_RMSE,mass_bias,rmse_low,rmse_high,full_256_pair_seconds_mean
nonlinear,identity,128,256,32,0.02256690841654834,-0.002506350051137281,0.017000869644575617,0.027475095570967188,0.0018800796460709535
nonlinear,constant,128,256,32,0.02158174888603038,0.005353516471871067,0.01753046637405182,0.025265506792206367,0.9939699869428296
nonlinear,gaussian,128,256,32,0.01827043352594671,0.0026495724212781645,0.014550725554558056,0.021491947865214193,1.71454007966895
nonlinear,nonlinear,128,256,32,0.019195934695217975,-0.0044523794795503745,0.014820619811389768,0.023379296593494924,1.6382847795684938
nonlinear,binned,128,256,32,0.021239372218941382,-0.004765821807316552,0.014628392020683726,0.027368461963655562,2.033733051735908
nonlinear,independent,192,384,32,0.019793148213284026,-0.002740117876016232,0.014704170312189025,0.02442983713703351,0.0019089572451775894
nonlinear,identity,192,384,32,0.018669532617369845,-0.0013513163901536871,0.013629001944436902,0.023356522184169986,0.0018800796460709535
nonlinear,constant,192,384,32,0.020860640437385804,-0.002315317424694525,0.015856948641757556,0.025599536195793807,0.9939699869428296
nonlinear,gaussian,192,384,32,0.01621624830367519,0.0014503529460981462,0.01228674140375957,0.019869171209198053,1.71454007966895
nonlinear,nonlinear,192,384,32,0.013120658825309177,-0.0019219569579992206,0.009899600282779638,0.016492601109309623,1.6382847795684938
nonlinear,binned,192,384,32,0.015539007825347138,-0.002223265337212411,0.010572308226181997,0.01995462601331163,2.033733051735908
nonlinear,independent,256,512,32,0.01651945541487509,-0.002486960807056347,0.012757744429947437,0.01999830636490935,0.0019089572451775894
nonlinear,identity,256,512,32,0.016148770218995946,-1.82162003171428e-05,0.01263214578235002,0.01934933276364876,0.0018800796460709535
nonlinear,constant,256,512,32,0.017522659258444886,-0.001891445855367855,0.013928036026082925,0.02079740684052134,0.9939699869428296
nonlinear,gaussian,256,512,32,0.017964407166047677,0.0011500946411913855,0.011578216791199147,0.023570763582647022,1.71454007966895
nonlinear,nonlinear,256,512,32,0.012027260248017096,-0.0005148197183191261,0.0082757139285717,0.015720357625394796,1.6382847795684938
nonlinear,binned,256,512,32,0.014158926749816766,0.0001824059060581227,0.010555925390724245,0.01742976705195186,2.033733051735908
