index,n_atoms,charge,E_before_hartree,max_force_evA,failure_reason,converged,steps,E_after_hartree,delta_E_kcalmol,delta_E_kcal_per_atom,rmsd_A,n_total,n_ok,n_dE,failure_rate,delta_E_kcal_median,delta_E_kcal_mean,delta_E_kcal_p90,delta_E_per_atom_median,delta_E_per_atom_mean,delta_E_per_atom_p90,max_force_evA_median,rmsd_A_median,steps_median,convergence_rate
32,14,0,-16.009157042335,2.025919086973499,,True,,-16.033318092761,15.16128804563055,1.082949146116468,0.25253558057639625,,,,,,,,,,,,,,
33,9,0,-22.319856807352,2.6596456550966567,,True,,-22.340495860358,12.95120129695585,1.4390223663284276,0.22075737193899353,,,,,,,,,,,,,,
34,14,0,-22.514331288669,6.382278852353596,,True,,-22.658078267877,90.20259132097156,6.443042237212254,0.4935022055719755,,,,,,,,,,,,,,
35,20,0,-22.220319501609,2.52983795676374,,True,,-22.36794887967,92.63883338331932,4.6319416691659665,0.5780732060192346,,,,,,,,,,,,,,
36,21,0,-35.80736747868,4.061436367945918,,True,,-35.84740524706,25.124078978795936,1.196384713275997,0.43812090801987164,,,,,,,,,,,,,,
37,45,0,-51.102452027629,6.33331294040069,,False,,-51.245533889638,89.78522397723538,1.9952271994941195,1.8431843201731932,,,,,,,,,,,,,,
38,17,0,-32.455139252356,7.497349350903041,,True,,-32.516699069067,38.62936820774273,2.272315776926043,0.7982340686083625,,,,,,,,,,,,,,
39,46,0,-70.848563960029,8.634846329351685,,False,,-71.21046177708,227.0943088422582,4.936832800918657,2.1308192555426753,,,,,,,,,,,,,,
40,44,0,-48.613549767971,2.9257674619856053,,False,,-49.049955123266,273.8484949794865,6.223829431351965,2.901598488785757,,,,,,,,,,,,,,
41,12,0,-18.088088612989,1.8607178118769965,,True,,-18.103717521925,9.807288426608189,0.8172740355506823,0.1790094218301129,,,,,,,,,,,,,,
42,25,0,-36.347635738892,5.979089239774353,,True,,-36.462033650501,71.78577334767846,2.8714309339071384,0.6377840480973809,,,,,,,,,,,,,,
43,71,0,,,single_point_failed,,,,,,,,,,,,,,,,,,,,
44,87,0,-141.358707479996,29.984864119859925,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
45,6,0,-11.335374277348,9.950615863850194,,True,,-11.366051017991,19.249945386858478,3.2083242311430795,0.2972694871258101,,,,,,,,,,,,,,
46,80,0,-103.05708795407,26.995695707457546,,False,,-104.300200048022,780.0646162773029,9.750807703466286,2.0710381824281265,,,,,,,,,,,,,,
47,13,0,-19.535471871782,3.2643485523049334,,True,,-19.591870731488,35.390818791870835,2.7223706762977566,0.4744673545697226,,,,,,,,,,,,,,
48,138,0,-96.345596887654,43.54113671141939,,False,,-106.361162578557,6284.862359142972,45.542480863354875,1.1347098868726702,,,,,,,,,,,,,,
49,11,0,-17.525721472895,6.839850284639542,,True,,-17.575127878124,31.002987360598166,2.818453396418015,0.3117708538601249,,,,,,,,,,,,,,
50,95,0,-106.166926817493,59.37822389970434,,False,,-108.501979716993,1465.2678168747611,15.423871756576434,2.2493659989101724,,,,,,,,,,,,,,
51,6,0,-8.655909132416,11.66672778636116,,True,,-8.68850093035,20.451661980335043,3.4086103300558404,0.09082646592204033,,,,,,,,,,,,,,
52,25,0,-32.524740057106,2.9138901114345863,,True,,-32.574573824014,31.27116086302318,1.2508464345209271,2.7292000505839,,,,,,,,,,,,,,
53,117,0,-112.780122605861,546.2075747423448,,False,,-124.39046244212,7285.598244344745,62.270070464484995,1.1318922300124348,,,,,,,,,,,,,,
54,13,0,-13.901651016689,2.395591025394045,,True,,-13.918521896009,10.586636609075704,0.8143566622365926,0.5764825223222275,,,,,,,,,,,,,,
55,13,0,-16.558371175805,3.451210009102142,,True,,-16.590031245334,19.866993578943912,1.5282302753033778,1.023851281639643,,,,,,,,,,,,,,
56,98,0,-117.038774372602,292.30647257211336,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
57,96,0,-100.267597355744,97.38143397348924,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
58,169,0,-139.520234328834,68.98522915184768,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
59,17,0,-22.200419200522,3.7373962687287796,,True,,-22.256175100277,34.987355331176545,2.058079725363326,0.7413235895157242,,,,,,,,,,,,,,
60,82,0,-90.934806925309,27.55730562189481,,False,,-91.971040636133,650.2464708856181,7.929835010800221,2.71741450978238,,,,,,,,,,,,,,
61,14,0,-18.705739201905,2.350333763866529,,True,,-18.73627628185,19.162306975709086,1.368736212550649,0.6304635323047694,,,,,,,,,,,,,,
62,18,0,-20.043701067251,1.9059560480527347,,True,,-20.064885943625,13.293710631541032,0.7385394795300573,0.8326478456822406,,,,,,,,,,,,,,
63,14,0,-18.732348319814,6.711265872118167,,True,,-18.816384506613,52.73350338050923,3.7666788128935162,0.32671622337072287,,,,,,,,,,,,,,
64,35,0,-45.853127976194,7.216638063273031,,False,,-46.074521207866,138.9263503676244,3.96932429621784,1.862434603754651,,,,,,,,,,,,,,
